Day,Susceptible,Exposed,Infected,Removed,Deceased
0,798,1,1,0,0
1,798,0,2,0,0
2,797,1,2,0,0
3,797,0,3,0,0
4,796,1,2,1,0
5,796,0,2,2,0
6,795,1,2,2,0
7,795,0,2,3,0
8,795,0,2,3,0
9,793,2,1,4,0
10,793,0,3,4,0
11,792,1,2,5,0
12,792,0,3,5,0
13,791,1,3,5,0
14,788,3,2,7,0
15,788,0,5,7,0
16,787,1,4,8,0
17,786,1,5,8,0
18,784,2,5,9,0
19,784,0,4,12,0
20,782,2,4,12,0
21,782,0,5,13,0
22,780,2,4,14,0
23,779,1,4,16,0
24,778,1,5,16,0
25,776,2,4,18,0
26,774,2,6,18,0
27,772,2,6,20,0
28,772,0,7,21,0
29,768,4,6,22,0
30,767,1,8,24,0
31,765,2,7,26,0
32,763,2,7,28,0
33,761,2,9,28,0
34,758,3,7,32,0
35,756,2,9,33,0
36,752,4,9,35,0
37,750,2,11,37,0
38,748,2,11,39,0
39,746,2,10,42,0
40,746,0,10,44,0
41,742,4,6,48,0
42,742,0,8,50,0
43,741,1,6,52,0
44,739,2,5,54,0
45,738,1,7,54,0
46,737,1,4,58,0
47,737,0,5,58,0
48,736,1,4,59,0
49,733,3,3,61,0
50,733,0,5,62,0
51,729,4,4,63,0
52,727,2,8,63,0
53,725,2,9,64,0
54,720,5,8,67,0
55,718,2,13,67,0
56,713,5,11,71,0
57,710,3,14,73,0
58,706,4,15,75,0
59,704,2,14,80,0
60,698,6,14,82,0
61,695,3,15,87,0
62,691,4,15,90,0
63,685,6,15,94,0
64,683,2,19,96,0
65,677,6,15,102,0
66,674,3,18,105,0
67,669,5,17,109,0
68,663,6,16,115,0
69,659,4,20,117,0
70,656,3,18,123,0
71,650,6,18,126,0
72,643,7,19,131,0
73,637,6,20,137,0
74,628,9,22,141,0
75,620,8,28,144,0
76,615,5,30,150,0
77,607,8,28,157,0
78,600,7,30,163,0
79,592,8,28,172,0
80,587,5,28,180,0
81,581,6,28,185,0
82,571,10,26,193,0
83,567,4,29,200,0
84,561,6,25,208,0
85,555,6,26,213,0
86,551,4,26,219,0
87,543,8,20,229,0
88,539,4,24,233,0
89,530,9,22,239,0
90,525,5,25,245,0
91,517,8,26,249,0
92,511,6,26,257,0
93,504,7,28,261,0
94,497,7,26,270,0
95,495,2,28,275,0
96,491,4,22,283,0
97,486,5,20,289,0
